feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
c6fda4b9a67c5c303ab4f2116a1197e6	Sex	M	0.806501330572415	0.253667749087557	45	16	0.00280845357726724	0.338421961565346
X46a9bce4deb54b24813583e0f9fb9cca	Sex	M	1.68280293048818	0.531861535835756	45	26	0.00293006027329304	0.338421961565346
ff6a1a59ac7ce80d358b3a2a60112c35	BirthMode	CS	-1.07829425167135	0.358958558684006	45	14	0.0045284701766507	0.348692203602104
cd1032dccdcdadb3b177b8bfd184fe52	Sex	M	0.44582364259234	0.169474915705316	45	45	0.0119516036164218	0.690205108848361
X428a6b3af0339c2456190db998ea95aa	BirthMode	CSR	-0.936029134996349	0.416068952998476	45	19	0.029900169049175	0.767437672262159
X031576b29e776dff6924cd6319f5840f	BirthMode	CSR	-0.676685064398813	0.294897946299185	45	12	0.0269460167948716	0.767437672262159
de17fa4e217c05126bad3d8e4a5ed1ae	BirthMode	CS	-1.22096592125604	0.537763374657195	45	33	0.0285018361226429	0.767437672262159
de17fa4e217c05126bad3d8e4a5ed1ae	Sex	M	1.12964181424055	0.474783599627374	45	33	0.022083494707038	0.767437672262159
f7740fb251b4636f610015fdb43d2c80	BirthMode	CSR	-1.43218586337967	0.616921950851675	45	25	0.0253078149419101	0.767437672262159
X968a697c6d9d2af8d415a6516efde56c	BirthMode	CS	-0.463998313928181	0.584228641179137	45	33	0.431648192067449	0.843449364026842
X968a697c6d9d2af8d415a6516efde56c	BirthMode	CSR	-0.893896011374333	0.675646189572637	45	33	0.193159043263215	0.843449364026842
X438fb020cf251f2c2f4e89552e4a78ff	BirthMode	CS	-0.902718760593506	0.963271461267854	45	43	0.354175078409952	0.843449364026842
X438fb020cf251f2c2f4e89552e4a78ff	Sex	M	1.0926402279402	0.850458609403463	45	43	0.206085470270955	0.843449364026842
f27c18211f38a2b8824f2a0ffa75d352	BirthMode	CS	1.18581065332048	0.853462225989548	45	43	0.172207410133106	0.843449364026842
f27c18211f38a2b8824f2a0ffa75d352	BirthMode	CSR	1.12620183010805	0.987008270888946	45	43	0.260480286422542	0.843449364026842
f27c18211f38a2b8824f2a0ffa75d352	Sex	M	-0.601695356812912	0.753509604590709	45	43	0.429167977102032	0.843449364026842
a1008f2cef2fbdb6e9e4d8e6baae6b6a	BirthMode	CSR	-0.555630359919887	0.561766371050057	45	39	0.328426765522076	0.843449364026842
a48efa77549a0058f29816ef3038a36e	BirthMode	CS	-0.733287623073135	0.400427519779867	45	11	0.0743347275675012	0.843449364026842
a48efa77549a0058f29816ef3038a36e	BirthMode	CSR	-0.594271468330872	0.463084670743373	45	11	0.206597242411084	0.843449364026842
a48efa77549a0058f29816ef3038a36e	Sex	M	0.312851912415974	0.353531735686052	45	11	0.381353272957763	0.843449364026842
X264d967e6d61a657b841b0165db6464d	BirthMode	CSR	0.616607352102336	0.524607195121862	45	13	0.246627515068815	0.843449364026842
X264d967e6d61a657b841b0165db6464d	Sex	M	0.419009003400971	0.400499744349348	45	13	0.301590572494613	0.843449364026842
c3342d2a9a35fb23f494d299efedfcb9	BirthMode	CS	0.679536731542623	0.355282056910701	45	6	0.0627933088628712	0.843449364026842
c3342d2a9a35fb23f494d299efedfcb9	Sex	M	0.309415098024669	0.31367345158195	45	6	0.329710724767026	0.843449364026842
X7c60bd2ffe3eed870549edc57875acf8	BirthMode	CSR	0.661874703761933	0.904697860213141	45	33	0.468575420438052	0.843449364026842
X7c60bd2ffe3eed870549edc57875acf8	Sex	M	1.26424579554614	0.690671544534571	45	33	0.0744569900326653	0.843449364026842
X94e1ce4bbbed8aed7c95d0a0b492b4e9	BirthMode	CS	-0.469300914302683	0.579908216281243	45	15	0.423032963571873	0.843449364026842
X428a6b3af0339c2456190db998ea95aa	BirthMode	CS	-0.56458052231666	0.359773210888497	45	19	0.124271986917665	0.843449364026842
d8f099d313df42c4bd55367dfcba5b1e	BirthMode	CS	1.28933704339741	1.18965654374603	45	26	0.284790627434935	0.843449364026842
X82d35bf6c80d4316579bdbd8f8384ec8	BirthMode	CS	-0.4232862568735	0.307271316317074	45	14	0.175811293149332	0.843449364026842
