feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
f27c18211f38a2b8824f2a0ffa75d352	TimePoint	Week9-14	4.64230731775202	0.336166028661924	280	189	2.61105978970383e-31	1.5666358738223e-29
f27c18211f38a2b8824f2a0ffa75d352	TimePoint	Week18	5.18945285057197	0.388779385091639	280	189	2.56911693050745e-30	7.70735079152235e-29
a48efa77549a0058f29816ef3038a36e	TimePoint	Week9-14	-2.83593517203326	0.240896050340261	280	134	6.09923513537759e-25	1.21984702707552e-23
a48efa77549a0058f29816ef3038a36e	TimePoint	Week18	-2.95739827152431	0.277405109883701	280	134	8.0705831055349e-22	1.21058746583024e-20
a48efa77549a0058f29816ef3038a36e	TimePoint	Week6	-2.40925986244412	0.237054301773188	280	134	5.62770739905304e-20	6.75324887886364e-19
f27c18211f38a2b8824f2a0ffa75d352	TimePoint	Week6	2.7307630715845	0.330590237422159	280	189	1.67412672472859e-14	1.67412672472859e-13
db35c906865fb1665ab2ed219d1e567e	TimePoint	Week18	1.44708987802728	0.186846264798341	280	280	4.03464127807165e-13	3.45826395263284e-12
a1008f2cef2fbdb6e9e4d8e6baae6b6a	TimePoint	Week18	1.48525979752764	0.193965417193584	280	161	6.03267210141355e-13	4.52450407606017e-12
db35c906865fb1665ab2ed219d1e567e	TimePoint	Week9-14	1.13483271724005	0.160256523993021	280	280	2.25887258559111e-11	1.50591505706074e-10
a1008f2cef2fbdb6e9e4d8e6baae6b6a	TimePoint	Week9-14	1.12198490437828	0.166807607562821	280	161	1.61513423976572e-10	9.69080543859434e-10
a1008f2cef2fbdb6e9e4d8e6baae6b6a	TimePoint	Week6	0.90489044400817	0.163897358935802	280	161	9.93252981448463e-08	5.41774353517343e-07
X94e1ce4bbbed8aed7c95d0a0b492b4e9	TimePoint	Week6	-1.24393236371635	0.236520277578351	280	115	2.92409861082139e-07	1.46204930541069e-06
X5467dddfc6f0c07ff660f571f4d731ad	TimePoint	Week6	1.66260892647628	0.319932682234984	280	213	4.99550488298611e-07	2.30561763830128e-06
f5e7b0432a0779c0c404e9453474c530	TimePoint	Week9-14	-1.12019069342025	0.218890249939233	280	280	6.93759745703092e-07	2.97325605301325e-06
f5e7b0432a0779c0c404e9453474c530	TimePoint	Week6	-1.08941238037999	0.215226027425335	280	280	9.0840834604832e-07	3.63363338419328e-06
f27c18211f38a2b8824f2a0ffa75d352	BirthMode	CSR	1.52389135596462	0.364402998157679	280	189	7.07216190494996e-05	0.000265206071435624
X94e1ce4bbbed8aed7c95d0a0b492b4e9	TimePoint	Week9-14	-0.903524880511393	0.240232532848827	280	115	0.000207046398580251	0.00073075199498912
X264d967e6d61a657b841b0165db6464d	TimePoint	Week18	0.661114586602735	0.185267228473683	280	51	0.000438901616206247	0.00146300538735416
cd1032dccdcdadb3b177b8bfd184fe52	TimePoint	Week18	-0.291694419828338	0.0856856079294092	280	280	0.0007891940227618	0.00249219165082674
X5467dddfc6f0c07ff660f571f4d731ad	TimePoint	Week9-14	1.06961081094239	0.3256062268809	280	213	0.00120307801218084	0.00360923403654253
X438fb020cf251f2c2f4e89552e4a78ff	TimePoint	Week6	-1.33557934151751	0.424844036501112	280	252	0.00191830537350417	0.00548087249572619
cd1032dccdcdadb3b177b8bfd184fe52	TimePoint	Week6	0.227421587779579	0.073133508873371	280	280	0.00215191513017238	0.00586885944592467
X438fb020cf251f2c2f4e89552e4a78ff	TimePoint	Week9-14	-1.31023476765215	0.432432151494286	280	252	0.00276198246085193	0.00720517163700505
X94e1ce4bbbed8aed7c95d0a0b492b4e9	TimePoint	Week18	-0.803512459865115	0.275693977171185	280	115	0.00385767697941001	0.00964419244852502
f5e7b0432a0779c0c404e9453474c530	BirthMode	CSR	-0.688447329374946	0.243533712342113	280	280	0.00584971607109209	0.014039318570621
X264d967e6d61a657b841b0165db6464d	TimePoint	Week9-14	0.43690206750624	0.15998127389493	280	51	0.00684642531391776	0.0157994430321179
a48efa77549a0058f29816ef3038a36e	BirthMode	CSR	-0.552614649666201	0.237419356474999	280	134	0.0223679982197712	0.0479314247566525
f5e7b0432a0779c0c404e9453474c530	TimePoint	Week18	-0.585541644850134	0.253403282745786	280	280	0.0217561994629257	0.0479314247566525
X438fb020cf251f2c2f4e89552e4a78ff	TimePoint	Week18	-1.06288891788223	0.503135799827512	280	252	0.0358073454030495	0.0721419253863773
X5467dddfc6f0c07ff660f571f4d731ad	TimePoint	Week18	0.798452001966363	0.37856769996597	280	213	0.0361135035026331	0.0721419253863773
cd1032dccdcdadb3b177b8bfd184fe52	BirthMode	CSR	0.15891389856244	0.0748402683147522	280	280	0.0372733281162949	0.0721419253863773
cd1032dccdcdadb3b177b8bfd184fe52	Sex	M	0.119560622983687	0.0604520698138337	280	280	0.0512499289161899	0.096093616717856
