"variable","Estimate","Std. Error","t value","Pr(>|t|)","Metrics"
"(Intercept)",7.63750644027775,0.374590441417154,20.3889517612448,1.40831054561088e-56,"Faith_PD"
"BirthModeCSR",-0.208088591475609,0.265864344711661,-0.782687094432644,0.434496802781816,"Faith_PD"
"BirthModeVF",0.149388460919512,0.242251729321695,0.616666231187699,0.537974508293932,"Faith_PD"
"SexM",0.268105486961318,0.203875734667162,1.31504363380475,0.189611004520013,"Faith_PD"
"TimePointInWeeks12",-0.0448590693200033,0.515671056465544,-0.0869916369312473,0.930742639165955,"Faith_PD"
"TimePointInWeeks14",-0.788155877945383,0.628724124618816,-1.25357982473351,0.211079142586922,"Faith_PD"
"TimePointInWeeks18",0.248595514132115,0.411118412545497,0.604681051848058,0.545898754484287,"Faith_PD"
"TimePointInWeeks3",0.551207559419199,0.368675175658377,1.49510353778189,0.136055266585732,"Faith_PD"
"TimePointInWeeks6",-0.102121960586236,0.378425348712261,-0.269860253637197,0.787473903520069,"Faith_PD"
"TimePointInWeeks9",-0.800159636091243,0.5582434729533,-1.43335242570437,0.152914087105649,"Faith_PD"
"(Intercept)",113.102410299427,9.81449489305225,11.5240174386858,2.95262112918364e-25,"Observed_ASVs"
"BirthModeCSR",-7.26857511104259,6.96580575720421,-1.04346508708275,0.29766629908379,"Observed_ASVs"
"BirthModeVF",4.52172808067463,6.34714103025685,0.712403908959881,0.476829857618593,"Observed_ASVs"
"SexM",5.03557858186638,5.34166688594127,0.942697979748515,0.346678133762471,"Observed_ASVs"
"TimePointInWeeks12",-1.35995093487313,13.5108918717438,-0.100655896574622,0.919898324546367,"Observed_ASVs"
"TimePointInWeeks14",-24.0873454812501,16.4729502623329,-1.46223627812003,0.144839433629893,"Observed_ASVs"
"TimePointInWeeks18",10.59755881601,10.7715497093374,0.983847180951442,0.326071446891944,"Observed_ASVs"
"TimePointInWeeks3",14.466809235937,9.65951137195404,1.49767505610488,0.135385833053714,"Observed_ASVs"
"TimePointInWeeks6",-5.19514810356736,9.91497177100131,-0.5239700347672,0.600729220928005,"Observed_ASVs"
"TimePointInWeeks9",-19.6732044503518,14.6263147923694,-1.34505545174068,0.179735998610694,"Observed_ASVs"
"(Intercept)",3.07042265721497,0.109881642104576,27.9429993801222,1.19693011423925e-81,"Shannon_Index"
"BirthModeCSR",-0.132792873996119,0.0779881372932342,-1.70273170516716,0.0897691315591282,"Shannon_Index"
"BirthModeVF",-0.0158781444617776,0.0710616579532451,-0.223441795746232,0.823360640028736,"Shannon_Index"
"SexM",0.12615278145065,0.0598045172368848,2.10941894156524,0.0358289669658366,"Shannon_Index"
"TimePointInWeeks12",-0.0729093460410299,0.151265959312437,-0.481994404903993,0.630200391487195,"Shannon_Index"
"TimePointInWeeks14",-0.0980955884549966,0.184428729634727,-0.531888869208617,0.595240330486891,"Shannon_Index"
"TimePointInWeeks18",0.102798798788708,0.120596687141886,0.852418098913131,0.394737562333624,"Shannon_Index"
"TimePointInWeeks3",0.151253551350274,0.108146469384737,1.39859906856674,0.163080817307837,"Shannon_Index"
"TimePointInWeeks6",-0.0696327212845522,0.111006566460122,-0.627284704905875,0.531002725621978,"Shannon_Index"
"TimePointInWeeks9",-0.292731414417737,0.163754070366038,-1.78762832437324,0.0749574538622209,"Shannon_Index"
"(Intercept)",0.65947177664429,0.0142133025396991,46.3982086360524,1.15531608766215e-130,"Pielou_evenness"
"BirthModeCSR",-0.023396267437693,0.0100878451452462,-2.31925323008336,0.0211278017767989,"Pielou_evenness"
"BirthModeVF",-0.00975526555934581,0.00919189797419333,-1.06128958205739,0.289506702519029,"Pielou_evenness"
"SexM",0.0180606266537882,0.0077357753346962,2.33468862168002,0.020292987548118,"Pielou_evenness"
"TimePointInWeeks12",-0.0153078596452664,0.0195664062029517,-0.782354178201469,0.434692040587593,"Pielou_evenness"
"TimePointInWeeks14",0.00894682636094105,0.0238560443865225,0.375033941754216,0.707929646811857,"Pielou_evenness"
"TimePointInWeeks18",0.0107837605482216,0.0155993045499061,0.691297519945304,0.489972537924577,"Pielou_evenness"
"TimePointInWeeks3",0.0131291917278197,0.0139888561776559,0.938546480218352,0.348802459867534,"Pielou_evenness"
"TimePointInWeeks6",-0.00334774723298019,0.0143588126530667,-0.233149307945402,0.815822122047923,"Pielou_evenness"
"TimePointInWeeks9",-0.0300154998114027,0.0211817561117677,-1.41704491605997,0.157622627501626,"Pielou_evenness"
