"comp","KW_pvalue","aov_pvalue","Sex","TimePoint","Metrics","KW_padj","aov_padj"
"CS - VF",0.8466,0.9962,"F","Week9-14","Shannon_Index",0.967542857142857,1
"CSR - VF",0.2,0.5229,"F","Week9-14","Shannon_Index",0.967542857142857,1
"CS - CSR",0.8968,0.9177,"M","Week18","Shannon_Index",0.986778947368421,1
"CS - VF",0.643,0.8906,"M","Week18","Shannon_Index",0.967542857142857,1
"CSR - VF",0.576,0.6896,"M","Week18","Shannon_Index",0.967542857142857,1
"CS - CSR",0.4392,0.8005,"F","Week18","Shannon_Index",0.967542857142857,1
"CS - VF",0.7806,0.9915,"F","Week18","Shannon_Index",0.967542857142857,1
"CSR - VF",0.5612,0.7306,"F","Week18","Shannon_Index",0.967542857142857,1
"CS - CSR",0.1821,0.5016,"M","Week3","Pielou_evenness",0.967542857142857,1
"CS - VF",0.9285,0.9588,"M","Week3","Pielou_evenness",0.986778947368421,1
"CSR - VF",0.1851,0.628,"M","Week3","Pielou_evenness",0.967542857142857,1
"CS - CSR",0.618,0.6545,"F","Week3","Pielou_evenness",0.967542857142857,1
"CS - VF",0.7901,0.8436,"F","Week3","Pielou_evenness",0.967542857142857,1
"CSR - VF",0.4283,0.3064,"F","Week3","Pielou_evenness",0.967542857142857,1
"CS - CSR",0.7899,0.9805,"M","Week6","Pielou_evenness",0.967542857142857,1
"CS - VF",0.7304,0.9533,"M","Week6","Pielou_evenness",0.967542857142857,1
"CSR - VF",0.9533,0.8727,"M","Week6","Pielou_evenness",0.986778947368421,1
"CS - CSR",0.0482,0.0899,"F","Week6","Pielou_evenness",0.967542857142857,1
"CS - VF",0.2456,0.4721,"F","Week6","Pielou_evenness",0.967542857142857,1
"CSR - VF",0.3149,0.487,"F","Week6","Pielou_evenness",0.967542857142857,1
"CS - CSR",0.9396,0.9545,"M","Week9-14","Pielou_evenness",0.986778947368421,1
"CS - VF",0.2985,0.4346,"M","Week9-14","Pielou_evenness",0.967542857142857,1
"CSR - VF",0.3513,0.6433,"M","Week9-14","Pielou_evenness",0.967542857142857,1
"CS - CSR",0.0497,0.1583,"F","Week9-14","Pielou_evenness",0.967542857142857,1
"CS - VF",0.1448,0.3793,"F","Week9-14","Pielou_evenness",0.967542857142857,1
"CSR - VF",0.5114,0.7939,"F","Week9-14","Pielou_evenness",0.967542857142857,1
"CS - CSR",0.763,0.8815,"M","Week18","Pielou_evenness",0.967542857142857,1
"CS - VF",0.8231,0.9877,"M","Week18","Pielou_evenness",0.967542857142857,1
"CSR - VF",0.6073,0.8056,"M","Week18","Pielou_evenness",0.967542857142857,1
"CS - CSR",0.3873,0.8873,"F","Week18","Pielou_evenness",0.967542857142857,1
"CS - VF",0.7502,0.9071,"F","Week18","Pielou_evenness",0.967542857142857,1
"CSR - VF",0.5191,0.6944,"F","Week18","Pielou_evenness",0.967542857142857,1
