id,lfc.BirthModeCSR,lfc.BirthModeVF,lfc.SexM,lfc.TimePointWeek3,lfc.TimePointWeek6,lfc.TimePointWeek9.14,se.BirthModeCSR,se.BirthModeVF,se.SexM,se.TimePointWeek3,se.TimePointWeek6,se.TimePointWeek9.14,W.BirthModeCSR,W.BirthModeVF,W.SexM,W.TimePointWeek3,W.TimePointWeek6,W.TimePointWeek9.14,p_val.BirthModeCSR,p_val.BirthModeVF,p_val.SexM,p_val.TimePointWeek3,p_val.TimePointWeek6,p_val.TimePointWeek9.14,q_val.BirthModeCSR,q_val.BirthModeVF,q_val.SexM,q_val.TimePointWeek3,q_val.TimePointWeek6,q_val.TimePointWeek9.14,diff_abn.BirthModeCSR,diff_abn.BirthModeVF,diff_abn.SexM,diff_abn.TimePointWeek3,diff_abn.TimePointWeek6,diff_abn.TimePointWeek9.14,Kingdom,Phylum,Class,Order,Family,Genus,Species,ASV,level
968a697c6d9d2af8d415a6516efde56c,-0.562393396231548,-0.0670811004690042,0.0352967048573262,-0.078311039771652,0.179170700810579,0.0338657827348286,0.11299066889049,0.126036931835241,0.0953705387795141,0.143631755987906,0.155863531950084,0.149188537262503,-4.9773437200962,-0.532233683351595,0.370100717779609,-0.54522093135341,1.14953574174079,0.226999897956238,6.44627911089436e-07,0.594564156590525,0.71130744731826,0.58560157726744,0.250335137548382,0.820423821516715,0.000202413164082083,0.818829584076425,0.911634850848709,0.683564666401399,0.441602433652763,0.974438695286255,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,k_d__Bacteria,p_Firmicutes,c_Clostridia,o_Peptococcales,f_Peptococcaceae,g_uncultured,s_unidentified,asv_9,ASV
438fb020cf251f2c2f4e89552e4a78ff,-0.687960864743317,-0.0786108099813461,0.0733828021500781,0.562636664067482,-0.290350834754328,-0.283567681345942,0.296252861309065,0.27969077535196,0.234010694447653,0.361616099449,0.341022339509556,0.343208914430903,-2.32220833818582,-0.281063291710008,0.313587386778571,1.55589495303107,-0.851412946060656,-0.826224697036625,0.0202217202343395,0.778661855685654,0.753834440556212,0.119733073727559,0.394540002745766,0.408676640953537,0.219822086188082,0.926135691989755,0.930160623452142,0.196838665709181,0.589405995285288,0.844884238388477,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,k_d__Bacteria,p_Verrucomicrobiota,c_Verrucomicrobiae,o_Verrucomicrobiales,f_Akkermansiaceae,g_Akkermansia,s_,asv_19,ASV
f27c18211f38a2b8824f2a0ffa75d352,0.67698083082733,-0.252994644548442,0.266700318617036,-3.00224390353714,-1.39550508263589,-0.215155199959367,0.210097002132383,0.183234848143093,0.158923271562998,0.254310403819061,0.298498382195844,0.298685305535132,3.2222298460059,-1.38071249607974,1.6781703270645,-11.8054309161225,-4.67508424122817,-0.72034075989741,0.00127197053169494,0.167367377561326,0.0933138526891982,3.65911578103589e-32,2.93832979739984e-06,0.471315214570326,0.0569396464119332,0.489128360942123,0.55284056121525,3.82987451748423e-30,7.68862963652958e-05,0.860424287064432,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,k_d__Bacteria,p_Actinobacteriota,c_Actinobacteria,o_Bifidobacteriales,f_Bifidobacteriaceae,g_Bifidobacterium,s_,asv_29,ASV
5c805b86c019c2095e27023a34cba1e7,0.0416152075479501,-0.000434949509158832,-0.0332403674536284,-0.196865175797559,-0.10470885045847,-0.0140604187339971,0.0449971439994516,0.0416246452667746,0.0355106577693322,0.0655812858685759,0.0695140637716422,0.0762547989938942,0.924841086546676,-0.0104493265076787,-0.936067353906792,-3.00184989041042,-1.50629735591987,-0.184387329315798,0.355048575181136,0.99166279543005,0.349238510248811,0.00268344461937976,0.131990856605197,0.85370960914374,0.666332002952596,0.996474560009152,0.856725720454115,0.00886949063668679,0.288714603302195,0.974438695286255,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,k_d__Bacteria,p_Actinobacteriota,c_Coriobacteriia,o_Coriobacteriales,f_Eggerthellaceae,g_Enterorhabdus,s_uncultured_bacterium,asv_60,ASV
c7572bd5051cec0c6dad00f12d7027e0,0.0776351955572047,0.0106575744632649,-0.0911052499348715,-0.122434483682665,-0.100599490325564,-0.0765940689198824,0.0539995510443087,0.0502819033032111,0.0441426076436937,0.0758359117921959,0.0782528461148242,0.0863669303428297,1.4377007596508,0.211956464714498,-2.06388464112149,-1.6144657694386,-1.28556973094563,-0.886844867773413,0.150518977476959,0.83214099872634,0.039028655315045,0.106426435882784,0.198593266226294,0.375162427553402,0.429663262979684,0.933186691428824,0.343673884328357,0.177754791846778,0.389739284969103,0.818513172579009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,k_d__Bacteria,p_Actinobacteriota,c_Coriobacteriia,o_Coriobacteriales,f_Eggerthellaceae,g_Enterorhabdus,s_uncultured_bacterium,asv_62,ASV
a1008f2cef2fbdb6e9e4d8e6baae6b6a,0.0531946783604696,0.125817265265186,0.0499861526499411,-0.208243686882781,0.0612269819412214,-0.0178922844836441,0.0621631547054854,0.0552974830762782,0.0494440727634627,0.0703381899607892,0.0912341804216555,0.0853104574456836,0.855726814581622,2.2752801441547,1.01096349584857,-2.96060627944604,0.671096968901892,-0.209731432925863,0.392148904597175,0.0228891297833474,0.312033901669583,0.00307034166864039,0.502158757788367,0.833877291182205,0.699629295701778,0.18428683979413,0.848390265516616,0.00965623209339983,0.688549563080993,0.974438695286255,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,k_d__Bacteria,p_Actinobacteriota,c_Coriobacteriia,o_Coriobacteriales,f_Eggerthellaceae,g_Enterorhabdus,s_,asv_68,ASV
ebdb83c3ce6ffb9baa5d797041283e86,0.0486689334280728,-0.0437379875888851,-0.0489452942029337,-0.22888787124719,-0.0395386473902032,0.0569705253925989,0.0626437969712331,0.0533934219603778,0.0455272137626467,0.0675438358583843,0.0802492297611614,0.0880175147933973,0.776915445441825,-0.819164346150022,-1.07507774269049,-3.38873071596181,-0.492698154335917,0.647263508022526,0.437208658005671,0.412692653831736,0.282339923405472,0.000702169301634351,0.622225881955807,0.517461414930123,0.734136463175298,0.739827516803148,0.837987926851383,0.00282668154760495,0.772248723059777,0.878285861016534,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,k_d__Bacteria,p_Actinobacteriota,c_Coriobacteriia,o_Coriobacteriales,f_Eggerthellaceae,g_Enterorhabdus,s_Adlercreutzia_muris,asv_72,ASV
c7604436ab1fde38fff4885eb7a3c7a6,-0.16937999079212,0.0138743158814171,0.0396865491786105,0.558776866888398,0.136853115396184,0.0782897871893652,0.0778309009749441,0.0854352039036145,0.0669405785568911,0.104330405956427,0.068446377513494,0.0656217940482579,-2.17625632840416,0.162395771853833,0.592862356946645,5.3558390937515,1.99942086590636,1.19304551673475,0.0295360990935226,0.870994200217481,0.553273271946223,8.51602710033047e-08,0.0455628361425,0.232851547423736,0.225247931489131,0.95593860675203,0.902889001667729,9.55011610537059e-07,0.156369326605833,0.652815945455832,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,k_d__Bacteria,p_Cyanobacteria,c_Vampirivibrionia,o_Gastranaerophilales,f_Gastranaerophilales,g_Gastranaerophilales,s_,asv_86,ASV
a48efa77549a0058f29816ef3038a36e,-0.0959489884468861,0.0229389460176682,0.0184161184423825,0.837943729940451,0.205339127732544,-0.000818504535020172,0.0930594718762558,0.0857455049601024,0.0747285968499221,0.111871957115016,0.0910605625849841,0.0710355901967164,-1.03105021458184,0.26752359821476,0.246440040609457,7.49020354653271,2.25497319479996,-0.0115224570212413,0.302517272580349,0.789066047321635,0.80534161385695,6.87668828899055e-14,0.0241350113520298,0.99080661287045,0.611456805387674,0.927034244609406,0.935549705704465,1.66098470980233e-12,0.102410723845099,0.995996041294407,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,k_d__Bacteria,p_Cyanobacteria,c_Vampirivibrionia,o_Gastranaerophilales,f_Gastranaerophilales,g_Gastranaerophilales,s_,asv_89,ASV
f2d453403c34d1cd8c79163f1711eafd,0.0282343783580151,-0.0162247862486182,0.0590355872039156,0.84585733915281,0.0557871005388069,0.0324163591949045,0.0854071827011681,0.0828741126586596,0.0711910121538268,0.109115593966696,0.0361617618947887,0.0336524859611833,0.330585525304172,-0.195776289218861,0.829256185827978,7.75193818228203,1.54270969155533,0.963267891480452,0.740957581172428,0.844785269391165,0.406959457783102,9.05004482356582e-15,0.122901229359399,0.335413102206889,0.889214626505199,0.94064742761995,0.885346016665713,3.15746008288852e-13,0.280715076013519,0.792987165882808,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,k_d__Bacteria,p_Cyanobacteria,c_Vampirivibrionia,o_Gastranaerophilales,f_Gastranaerophilales,g_Gastranaerophilales,s_,asv_90,ASV
