id,lfc.BirthModeCSR,lfc.BirthModeVF,lfc.SexM,lfc.Age_groupWeek3,lfc.Age_groupWeek6,lfc.Age_groupWeek9.14,se.BirthModeCSR,se.BirthModeVF,se.SexM,se.Age_groupWeek3,se.Age_groupWeek6,se.Age_groupWeek9.14,W.BirthModeCSR,W.BirthModeVF,W.SexM,W.Age_groupWeek3,W.Age_groupWeek6,W.Age_groupWeek9.14,p_val.BirthModeCSR,p_val.BirthModeVF,p_val.SexM,p_val.Age_groupWeek3,p_val.Age_groupWeek6,p_val.Age_groupWeek9.14,q_val.BirthModeCSR,q_val.BirthModeVF,q_val.SexM,q_val.Age_groupWeek3,q_val.Age_groupWeek6,q_val.Age_groupWeek9.14,diff_abn.BirthModeCSR,diff_abn.BirthModeVF,diff_abn.SexM,diff_abn.Age_groupWeek3,diff_abn.Age_groupWeek6,diff_abn.Age_groupWeek9.14,Kingdom,Phylum,Class,Order,Family,Genus,Species,ASV,level
814a6491e4f2e054f75ffb9fa643f91f,-0.0174478672474784,-0.0571462778404374,-0.0823056360468295,0.0616871527531205,0.0128931406882907,-0.0393158044357168,0.0413139608811411,0.0415636405788373,0.0322193688487506,0.0593608167400266,0.0577398465651084,0.0543791285305428,-0.422323758733163,-1.37491030729234,-2.55453905485244,1.03918975750085,0.223297106855872,-0.722994382185337,0.67278871869635,0.169159253357004,0.0106328500679995,0.298716493078034,0.823304278820818,0.46968333563345,0.919935594952152,0.544887979563427,0.149354653928605,0.410123054021072,0.883996581426199,0.898206406219735,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,k_Bacteria,p_Firmicutes,c_Clostridia,o_Peptococcales,f_Peptococcaceae,g_Peptococcus,s_uncultured_bacterium,asv_6,ASV
968a697c6d9d2af8d415a6516efde56c,-0.605866478902662,-0.0423331982565882,0.0558867464605302,-0.0692660769090827,0.148596579593377,-0.0243702439568928,0.114923533637881,0.131780759873907,0.0996454255460487,0.151271571555466,0.159634692501554,0.150408769696357,-5.27190958826345,-0.321239597473063,0.560856117120033,-0.457892227844576,0.930853921943883,-0.162026748879677,1.35011587163978e-07,0.748028826578525,0.574895627450623,0.647029870985169,0.351929132495583,0.8712847896244,4.52288816999325e-05,0.945621346806815,0.90926172386727,0.742311667054902,0.577922840127551,0.962729170740295,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,k_Bacteria,p_Firmicutes,c_Clostridia,o_Peptococcales,f_Peptococcaceae,g_uncultured,s_unidentified,asv_9,ASV
438fb020cf251f2c2f4e89552e4a78ff,-0.69778750300543,-0.0981470632917347,0.0895352825360922,0.479458581661157,-0.386423751786821,-0.286764827462444,0.3073558070936,0.289473896480332,0.2425092261244,0.373244569717174,0.347244512373539,0.348073426427635,-2.27029223753346,-0.339053242745165,0.369203613268565,1.2845694768566,-1.11282896638302,-0.823863029147567,0.0231898577277362,0.73456962116608,0.71197596284579,0.198942770596867,0.265781892310752,0.410017389382619,0.249166875521081,0.945621346806815,0.929472776628793,0.301564833257694,0.484163239675877,0.898206406219735,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,k_Bacteria,p_Verrucomicrobiota,c_Verrucomicrobiae,o_Verrucomicrobiales,f_Akkermansiaceae,g_Akkermansia,s_,asv_19,ASV
f27c18211f38a2b8824f2a0ffa75d352,0.884572453774033,-0.16407207821103,0.247411542601901,-3.12724246406802,-1.50088611049583,-0.273077958738817,0.209777035826394,0.190489602150978,0.162564438767429,0.252213874019221,0.295997789064224,0.296494705886242,4.21672682278762,-0.861317764110768,1.52192905458159,-12.3991690632756,-5.07059905832667,-0.921021365027647,2.47873950807826e-05,0.389063054495551,0.128026858154193,2.64047473790971e-35,3.96565438362658e-07,0.357039272627071,0.00346720164726094,0.719541982131813,0.592056883422275,4.42279518599876e-33,1.66061777314363e-05,0.898206406219735,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,k_Bacteria,p_Actinobacteriota,c_Actinobacteria,o_Bifidobacteriales,f_Bifidobacteriaceae,g_Bifidobacterium,s_,asv_29,ASV
5c805b86c019c2095e27023a34cba1e7,0.0172782370079949,0.00400936600748154,-0.040724080853531,-0.242582236236654,-0.144167089695592,0.00889304186459391,0.0532189656948249,0.0528183111931958,0.0428929140542753,0.0742687265929343,0.0803636684104087,0.0906090936667136,0.324663149356828,0.0759086369273775,-0.949436095715018,-3.26627703698548,-1.79393365866956,0.0981473437677799,0.745436027571741,0.939491785413452,0.342398859344997,0.0010897158374131,0.0728237583355953,0.921815294082216,0.922149329110282,0.993168514288563,0.805315337443805,0.00392532048960632,0.204256476905928,0.968377050777782,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,k_Bacteria,p_Actinobacteriota,c_Coriobacteriia,o_Coriobacteriales,f_Eggerthellaceae,g_Enterorhabdus,s_uncultured_bacterium,asv_60,ASV
c7572bd5051cec0c6dad00f12d7027e0,0.0415458166261165,0.01575992750629,-0.125839996094269,-0.12955027793999,-0.126018493929875,-0.00598858379131797,0.0483315902696482,0.0527277133166893,0.0443565232656899,0.0820024649187261,0.0820603196074072,0.0944215682186461,0.859599619924093,0.298892679294357,-2.83701216482869,-1.57983394850861,-1.53568124682883,-0.0634238967250637,0.390009784608691,0.765021933007504,0.00455378769437699,0.114144898849938,0.124616576658316,0.949428958720968,0.726364142541232,0.952722481626445,0.127126573134691,0.18744382899377,0.29621778403432,0.981662657936804,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,k_Bacteria,p_Actinobacteriota,c_Coriobacteriia,o_Coriobacteriales,f_Eggerthellaceae,g_Enterorhabdus,s_uncultured_bacterium,asv_62,ASV
a1008f2cef2fbdb6e9e4d8e6baae6b6a,0.0763983769518904,0.0103784008073872,0.127623581858963,-0.194445351808347,0.0512706819674392,-0.0189048400665499,0.0670909058687659,0.0580226508280483,0.0516826623708042,0.0807674436005932,0.0932410425755791,0.0942054498162401,1.13872925044909,0.178868091327711,2.46936933982446,-2.40747191120605,0.549872465506596,-0.200676713538614,0.254816098698531,0.858041278119605,0.0135351437809128,0.0160633978401581,0.582406850986058,0.840951369205102,0.612557250683624,0.971094014088067,0.167936043207622,0.0384374162603783,0.768135020001297,0.959397309904338,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,k_Bacteria,p_Actinobacteriota,c_Coriobacteriia,o_Coriobacteriales,f_Eggerthellaceae,g_Enterorhabdus,s_,asv_68,ASV
ebdb83c3ce6ffb9baa5d797041283e86,0.0342990544589547,-0.0494665938102077,-0.0999299930470728,-0.332448736100406,-0.111154283369897,-0.025754733628855,0.0640521973743329,0.0606636306620728,0.0505342060763383,0.0929360710032945,0.105198041114799,0.104531202340495,0.535485992127712,-0.815424221569621,-1.97747230650296,-3.57717657429934,-1.05661932667167,-0.246383214314927,0.592313841366783,0.414829524387773,0.0479882678466981,0.000347325563536974,0.290685356447819,0.805385598847535,0.882819650774799,0.723791097239083,0.354979067881556,0.00166766396758864,0.517976566010742,0.957964478795513,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,k_Bacteria,p_Actinobacteriota,c_Coriobacteriia,o_Coriobacteriales,f_Eggerthellaceae,g_Enterorhabdus,s_Adlercreutzia_muris,asv_72,ASV
f5d873dbd84ce42d9e8f04c82b38ecfc,0.0641350548924442,0.00913169314576454,-0.148304899113169,-0.168149138219539,-0.118493369575099,-0.0601560665994558,0.0438342729404212,0.0439925725296394,0.0373912054598779,0.0744959555946827,0.0789584177604911,0.0818856754441008,1.46312578241267,0.207573520271228,-3.9663043030882,-2.25715794739791,-1.50070597836106,-0.73463479751744,0.143432964184449,0.835561981778646,7.29956565564912e-05,0.0239982070566284,0.133431626107303,0.462561939656646,0.487146162054215,0.964007867922895,0.00489070898928491,0.0527046358995764,0.312584578642982,0.898206406219735,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,k_Bacteria,p_Actinobacteriota,c_Coriobacteriia,o_Coriobacteriales,f_Eggerthellaceae,g_Enterorhabdus,s_Adlercreutzia_mucosicola,asv_75,ASV
c7604436ab1fde38fff4885eb7a3c7a6,-0.146483570821813,-0.0530978290250692,0.00408213372004516,0.530529769036135,0.0335461634518377,-0.0215603219638446,0.087899894188022,0.090767661241395,0.0710506301229196,0.117794745069895,0.0797015799960699,0.0772522388467052,-1.66648176513703,-0.584986197714806,0.0574538707536155,4.50384920584819,0.420897094555615,-0.279089930411307,0.0956174971645589,0.558556997439667,0.954183651178088,6.67335669906414e-06,0.673830226920265,0.780175810600232,0.414520221465398,0.820686816413546,0.994139339011361,5.0808511231511e-05,0.819473521990376,0.957341356754487,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,k_Bacteria,p_Cyanobacteria,c_Vampirivibrionia,o_Gastranaerophilales,f_Gastranaerophilales,g_Gastranaerophilales,s_,asv_86,ASV
