id,lfc.BirthModeCSR,lfc.BirthModeVF,lfc.SexM,se.BirthModeCSR,se.BirthModeVF,se.SexM,W.BirthModeCSR,W.BirthModeVF,W.SexM,p_val.BirthModeCSR,p_val.BirthModeVF,p_val.SexM,q_val.BirthModeCSR,q_val.BirthModeVF,q_val.SexM,diff_abn.BirthModeCSR,diff_abn.BirthModeVF,diff_abn.SexM,Kingdom,Phylum,Class,Order,Family,Genus,Species,ASV,level
968a697c6d9d2af8d415a6516efde56c,-0.660762549813132,-0.136870157419071,0.0264686078362749,0.215601363828775,0.263714978690124,0.199858086390496,-3.06474197601965,-0.519007900495099,0.132437012253579,0.0021785786037889,0.603755231873896,0.894638640951947,0.385604987899448,0.86659999932855,0.9912211605619,FALSE,FALSE,FALSE,k_d__Bacteria,p_Firmicutes,c_Clostridia,o_Peptococcales,f_Peptococcaceae,g_uncultured,s_unidentified,asv_9,ASV
438fb020cf251f2c2f4e89552e4a78ff,-0.49530052725924,-0.314892018515344,0.257249598882533,0.531116301534363,0.536464979639162,0.409119677901747,-0.932565100766719,-0.586975907965412,0.628788134078248,0.351044559439097,0.557219887307508,0.529487769400905,0.953859783349458,0.86659999932855,0.9912211605619,FALSE,FALSE,FALSE,k_d__Bacteria,p_Verrucomicrobiota,c_Verrucomicrobiae,o_Verrucomicrobiales,f_Akkermansiaceae,g_Akkermansia,s_,asv_19,ASV
f27c18211f38a2b8824f2a0ffa75d352,0.704757616910513,-0.144571444736472,0.962169691566388,0.423288878257267,0.421503211877987,0.341239337464612,1.66495661263789,-0.342990137826805,2.81963298462379,0.0959214122367889,0.731605879512192,0.00480786045019148,0.767803880274023,0.918939203070315,0.219558960558744,FALSE,FALSE,FALSE,k_d__Bacteria,p_Actinobacteriota,c_Actinobacteria,o_Bifidobacteriales,f_Bifidobacteriaceae,g_Bifidobacterium,s_,asv_29,ASV
5c805b86c019c2095e27023a34cba1e7,0.0373651169093147,-0.0141829689878149,0.0214577099084001,0.0677144189964185,0.0716241718391151,0.0596462538117222,0.551804437859697,-0.198019308616555,0.359749498705031,0.581082346436307,0.843029956761094,0.719034472190771,0.978890593963004,0.965996056800825,0.9912211605619,FALSE,FALSE,FALSE,k_d__Bacteria,p_Actinobacteriota,c_Coriobacteriia,o_Coriobacteriales,f_Eggerthellaceae,g_Enterorhabdus,s_uncultured_bacterium,asv_60,ASV
c7572bd5051cec0c6dad00f12d7027e0,0.0873020391215016,-0.0141829689878148,0.066700316221148,0.0937239932033733,0.078545226989158,0.0722304700890534,0.931480148653754,-0.180570730157449,0.923437382297426,0.351605248606917,0.856704532126279,0.355779318226471,0.953859783349458,0.965996056800825,0.946442069845176,FALSE,FALSE,FALSE,k_d__Bacteria,p_Actinobacteriota,c_Coriobacteriia,o_Coriobacteriales,f_Eggerthellaceae,g_Enterorhabdus,s_uncultured_bacterium,asv_62,ASV
a1008f2cef2fbdb6e9e4d8e6baae6b6a,0.0141457703744969,0.23950596608534,0.0727312230134239,0.143502772041843,0.154394422377367,0.121544140104134,0.0985748928276612,1.5512604820655,0.598393496807914,0.921475805530042,0.120839273047344,0.549577403983699,0.983805513961055,0.833380845394463,0.9912211605619,FALSE,FALSE,FALSE,k_d__Bacteria,p_Actinobacteriota,c_Coriobacteriia,o_Coriobacteriales,f_Eggerthellaceae,g_Enterorhabdus,s_,asv_68,ASV
ebdb83c3ce6ffb9baa5d797041283e86,0.289418637112931,0.0809751378671184,0.126084764257262,0.118023958815803,0.0968248146465808,0.0921053790413864,2.45220241734663,0.836305632628215,1.36891857532672,0.01419847659917,0.402982985214286,0.171024728637968,0.496573555387566,0.86659999932855,0.735109496708346,FALSE,FALSE,FALSE,k_d__Bacteria,p_Actinobacteriota,c_Coriobacteriia,o_Coriobacteriales,f_Eggerthellaceae,g_Enterorhabdus,s_Adlercreutzia_muris,asv_72,ASV
c7604436ab1fde38fff4885eb7a3c7a6,-0.107091875379228,0.0363758880303751,0.0186101284041346,0.071009659634125,0.110765168018705,0.0846337205939415,-1.50813108992517,0.328405478735266,0.219890231382157,0.131520979550066,0.742605101072644,0.825956644360424,0.814700971699532,0.918939203070315,0.9912211605619,FALSE,FALSE,FALSE,k_d__Bacteria,p_Cyanobacteria,c_Vampirivibrionia,o_Gastranaerophilales,f_Gastranaerophilales,g_Gastranaerophilales,s_,asv_86,ASV
a48efa77549a0058f29816ef3038a36e,-0.269979099854506,0.0969377089118919,0.13161974838283,0.105504813870665,0.16756062682111,0.126278715070983,-2.55892683897311,0.578523193371578,1.04229559438299,0.0104995835482977,0.562910943226349,0.297274654299798,0.496573555387566,0.86659999932855,0.859829327101612,FALSE,FALSE,FALSE,k_d__Bacteria,p_Cyanobacteria,c_Vampirivibrionia,o_Gastranaerophilales,f_Gastranaerophilales,g_Gastranaerophilales,s_,asv_89,ASV
264d967e6d61a657b841b0165db6464d,0.0758786560178238,0.0345502328435258,-0.0558990706572613,0.115717189090765,0.104239468064261,0.0933708551533603,0.655725019022947,0.331450586664798,-0.598677933981089,0.512001068122771,0.740304159554145,0.549387674641725,0.9702941170307,0.918939203070315,0.9912211605619,FALSE,FALSE,FALSE,k_d__Bacteria,p_Desulfobacterota,c_Desulfovibrionia,o_Desulfovibrionales,f_Desulfovibrionaceae,g_uncultured,s_uncultured_Desulfovibrionales,asv_113,ASV
