feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X3f408486b8a7486bb4466732ec7740cb	BirthMode	CSR	0.583580563479024	0.216703964818456	280	77	0.00751964374782453	0.0376365842684483
X4b72261af364903930771877a0828e14	Age_group	Week6	0.369138115452474	0.137090751814488	280	47	0.00766665887419294	0.0381443069757787
X1b4eb07d78bfeac60a6995109ec82487	Age_group	Week6	-0.505666760090269	0.188208301756502	280	106	0.00765791634175177	0.0381443069757787
X40959ad7a3eb84ce2491fa3117a1a4e0	Age_group	Week6	-0.297088156406961	0.110308474371405	280	45	0.00767940940643862	0.0381443069757787
X85e7264741ca7542518130169aba3691	Age_group	Week9-14	-0.701513477247239	0.261695283320359	280	67	0.00794848664007553	0.0393811383531015
X4b72261af364903930771877a0828e14	Age_group	Week18	0.430182981728	0.161029217778643	280	47	0.00810285939270547	0.0400448617846049
e3e8c8f2a808212211a492a44f04ae35	BirthMode	CSR	-0.51606779973521	0.188488712970965	280	60	0.00822069793702835	0.0405251491267579
X97651a1af7deca166a9b9c76a89ab6aa	Age_group	Week18	1.54093280939633	0.577972198228672	280	189	0.00827014426662831	0.0406667244389091
d0155336ffa7f129ad6963c67f7036fb	BirthMode	CSR	-0.253606536389792	0.0937665637500028	280	41	0.00829263397754772	0.0406753696598716
d99cb74080ad60c13235050ef54d2e92	Age_group	Week6	0.380782473629705	0.143260181879308	280	45	0.00844231395138387	0.0413062842209854
X13c07d678a73558a30551df04730edb1	Age_group	Week9-14	-0.538798971085734	0.202810756696266	280	96	0.0085402837716334	0.0416816834824496
X438fb020cf251f2c2f4e89552e4a78ff	Age_group	Week9-14	-1.17888220428843	0.444663975327341	280	250	0.00865818667811376	0.0420479263922257
ec2419c176862417d3bb24baba3bc8d2	Sex	M	-0.708947831940657	0.265126073459658	280	270	0.00864005519282502	0.0420479263922257
d10251383348c3df362779b518475eb8	BirthMode	CSR	-0.223885352630191	0.084741182785476	280	37	0.00871761115148581	0.0422189851965961
ff6a1a59ac7ce80d358b3a2a60112c35	Age_group	Week6	-0.339049246360641	0.128367461341009	280	51	0.00873644647799084	0.0422189851965961
X8a88f51fbbd1cf4036edce693eabc86a	Age_group	Week9-14	0.455095529332775	0.172084043222204	280	87	0.00880432933205419	0.0424424917677895
X73519edee336f9786d0e65d99b7eada2	Age_group	Week9-14	-0.305448917710863	0.115727182831351	280	32	0.00904080579162488	0.0434756396156079
