feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X411b1a6f2df76cafb02680de95e8ccbf	BirthMode	CSR	-0.701880446384184	0.29070375733526	280	73	0.0176703660992678	0.0645135064190247
X759128bbc80be1287e3c60023d11d097	TimePoint	Week18	-0.249240090259067	0.104272406318527	280	30	0.017513829116364	0.0645135064190247
cd1032dccdcdadb3b177b8bfd184fe52	BirthMode	CSR	0.714518212599154	0.295714682626717	280	279	0.0178103922586555	0.0647194535596213
X7dd93ae46821038682c068ced4636077	TimePoint	Week9-14	-0.385228230506593	0.161649484610317	280	116	0.0180967307587992	0.0654526617164045
c3342d2a9a35fb23f494d299efedfcb9	TimePoint	Week9-14	-0.647961428143092	0.272540233649836	280	54	0.0184355127347387	0.0663678458450595
b20ed1130c0078768af7146b7d1daecb	TimePoint	Week9-14	-0.285912592865239	0.121079562212778	280	32	0.019098357665836	0.0684357816359124
c6fda4b9a67c5c303ab4f2116a1197e6	BirthMode	CS	-0.279774578138934	0.116557144576332	280	64	0.0192667169455243	0.0686230361368948
X7472fa2c4de1543ec76805a1b87222b4	TimePoint	Week6	-0.351462725821632	0.149100036697001	280	63	0.0193279352426913	0.0686230361368948
X13c07d678a73558a30551df04730edb1	BirthMode	CSR	-0.663735784432674	0.281828977547169	280	187	0.0210915328038866	0.0745426775808596
c4a7d3b208ece70a26268344fbb93c52	BirthMode	CS	0.914900372275099	0.396200649286053	280	216	0.0234228537144656	0.0824058580681653
X73519edee336f9786d0e65d99b7eada2	BirthMode	CSR	-0.25273349711321	0.109921971627878	280	42	0.0253844442603577	0.0889029857806192
a009250174a6396c22cbd6d4883ace66	TimePoint	Week9-14	0.588986397218023	0.26197256742121	280	273	0.0255978716221985	0.089246633493611
bebfc02440a36e24a6ccc8ec2cd45773	BirthMode	CSR	-0.277643600611799	0.12199920080171	280	46	0.0260548951415483	0.0904326853791855
ff6a1a59ac7ce80d358b3a2a60112c35	BirthMode	CS	-0.242345928034663	0.106140302435396	280	55	0.0262101765701971	0.0905655208273776
X82d35bf6c80d4316579bdbd8f8384ec8	TimePoint	Week6	-0.249836000504314	0.112385118554364	280	77	0.0272651406345738	0.093792083782934
X3d1fcc65c931bb6a77b687a734c7513b	TimePoint	Week9-14	-0.440470406828407	0.198817972334123	280	213	0.0277865806169627	0.0939162157097342
dd4b42686857a797e6a0189fed411d02	Sex	M	0.379441925567779	0.168790605010473	280	109	0.0277060551669238	0.0939162157097342
X46a9bce4deb54b24813583e0f9fb9cca	BirthMode	CS	0.727712606046612	0.324190999226714	280	144	0.0276867718794828	0.0939162157097342
X13c07d678a73558a30551df04730edb1	BirthMode	CS	-0.614737948049494	0.273600799189341	280	187	0.027758620962342	0.0939162157097342
X85e7264741ca7542518130169aba3691	BirthMode	CS	-0.772040111709826	0.3461437372095	280	194	0.0284595844108411	0.0953580880259353
X802af93433e3f4f5a6e0a9714c0159fb	BirthMode	CSR	-0.330180762685097	0.148355486336125	280	38	0.028422023793352	0.0953580880259353
X547c05cd6cde04a51dba35d18340f60e	BirthMode	CSR	-0.729635823994301	0.329293875711592	280	175	0.0294379435917335	0.098211070431042
X964f0f57f439850529c1c1c7881ebf95	TimePoint	Week18	-0.226658619804525	0.103484821426689	280	44	0.0295962682230885	0.0983155004492295
X3f539434775a56620993cbccf2d98e16	TimePoint	Week9-14	0.39182797465377	0.17956168732671	280	172	0.0302233809696831	0.099969644745875
X43577e578520b2867697731105874b5d	TimePoint	Week6	-0.570936097186766	0.262131143908971	280	108	0.0305829513938912	0.100301713469796
a04152eb23b2b714891a76b94fc50d13	TimePoint	Week9-14	-0.502703183169834	0.230764893636335	280	275	0.0305176005147674	0.100301713469796
X5087bee9be8c0f9f4afc8588e1b7a670	TimePoint	Week18	-0.405349150640899	0.186772670424634	280	62	0.0311472594455199	0.101721429581571
d10251383348c3df362779b518475eb8	BirthMode	CSR	-0.190787445634866	0.0872422664904597	280	44	0.0321663141026786	0.104608097123837
X8f20e8d05e62fad83c0accad82df42af	TimePoint	Week18	0.539060587784885	0.250274785242142	280	265	0.0323581678558827	0.104791723516541
X592ffedf7f7221039afc844b2f4fdc66	TimePoint	Week9-14	-0.506887114798322	0.235846984639105	280	145	0.0327991227630439	0.105777170910817
cd1032dccdcdadb3b177b8bfd184fe52	TimePoint	Week6	0.320984802876963	0.149658830172484	280	279	0.0331932097950605	0.106603918594925
de903f144fcf6440572387e2c24a0651	BirthMode	CS	0.613881686406286	0.283580707288738	280	95	0.0338002110464826	0.108104807231312
f5e7b0432a0779c0c404e9453474c530	TimePoint	Week18	-0.895307886249879	0.419555721198957	280	267	0.0339585317877429	0.108164212360959
X2c3a4f56eede5122206b44f27ceb8b57	TimePoint	Week18	0.601913157818781	0.284537255121876	280	144	0.0354684293103691	0.112510509369777
fc4f1910689e1f8d5f98a11f522acb7b	BirthMode	CSR	0.243213208458825	0.114005896061742	280	45	0.035635390049906	0.112578742443376
f5e7b0432a0779c0c404e9453474c530	BirthMode	CSR	-0.854823429553354	0.400458277022287	280	267	0.0359484066003263	0.113105962230295
X2b38a17a9b0c799e9bce0fca7ab8d33a	BirthMode	CS	0.320330094682964	0.150287563325162	280	61	0.0364343102113178	0.114170672484048
X76af84637f0f7b485bc3ae2da8c96721	Sex	M	0.325152862866574	0.153924286307296	280	40	0.0367902279463314	0.114821114638954
X438fb020cf251f2c2f4e89552e4a78ff	TimePoint	Week18	-1.05419363700522	0.50335852181103	280	252	0.0374158348132193	0.116304643154344
X428a6b3af0339c2456190db998ea95aa	TimePoint	Week9-14	0.240846627934774	0.115286631287957	280	74	0.0378873918105904	0.117299365045588
X0425d580a9521c4e1a833b43bf4171e6	TimePoint	Week18	0.507856325410704	0.244424560299311	280	96	0.0386657404135447	0.119232203506309
c4a7d3b208ece70a26268344fbb93c52	BirthMode	CSR	0.853183717803157	0.406723316321906	280	216	0.038836420998684	0.119283293067387
X904398d6601dd776a7c9a42ac7cf4cd8	BirthMode	CSR	-0.244611245168324	0.117834863211408	280	53	0.0409389334992608	0.125244009993786
X3f539434775a56620993cbccf2d98e16	TimePoint	Week6	0.362084328053543	0.17643581214967	280	172	0.0414145268698107	0.126200172430053
X694dd510053de612f7339e2747acd98a	BirthMode	CSR	-0.396492652883999	0.191005295438764	280	78	0.0416839704835125	0.126523110408779
