feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
f27c18211f38a2b8824f2a0ffa75d352	Age_group	Week18	5.21579883257362	0.361814507796635	280	228	9.89933198226428e-34	4.75167935148686e-32
f27c18211f38a2b8824f2a0ffa75d352	Age_group	Week9-14	4.46425864178003	0.312517182428302	280	228	8.86610825658708e-33	2.1278659815809e-31
a48efa77549a0058f29816ef3038a36e	Age_group	Week9-14	-3.02640698015851	0.244773444870992	280	141	9.00042793750516e-27	1.44006847000083e-25
a48efa77549a0058f29816ef3038a36e	Age_group	Week18	-3.09861905365302	0.283338561314667	280	141	1.36539657350339e-22	1.63847588820407e-21
a48efa77549a0058f29816ef3038a36e	Age_group	Week6	-2.6044004980906	0.240679786723751	280	141	5.90732466260358e-22	5.67103167609944e-21
f27c18211f38a2b8824f2a0ffa75d352	Age_group	Week6	2.74131287855577	0.307282738210579	280	228	2.44106353621279e-16	1.95285082897023e-15
db35c906865fb1665ab2ed219d1e567e	Age_group	Week18	0.776079104127159	0.151582623242398	280	280	6.98431590727447e-07	4.78924519355963e-06
X94e1ce4bbbed8aed7c95d0a0b492b4e9	Age_group	Week6	-1.29532638392673	0.256948666995087	280	115	8.43789424046427e-07	5.06273654427856e-06
X94e1ce4bbbed8aed7c95d0a0b492b4e9	Age_group	Week9-14	-1.27579231331446	0.260981551841412	280	115	1.73642933871685e-06	9.26095647315655e-06
X5467dddfc6f0c07ff660f571f4d731ad	Age_group	Week6	1.58888336086033	0.325768986903965	280	222	2.18088766268883e-06	1.04682607809064e-05
f27c18211f38a2b8824f2a0ffa75d352	BirthMode	CSR	1.46526340083581	0.348267126900012	280	228	6.46716886096548e-05	0.000282203732114857
cd1032dccdcdadb3b177b8bfd184fe52	Age_group	Week18	-0.289626510014908	0.0864025818696308	280	280	0.000945199932882081	0.00378079973152833
X94e1ce4bbbed8aed7c95d0a0b492b4e9	Age_group	Week18	-0.993276531024775	0.2995058210569	280	115	0.00103551024596709	0.00382342244664771
cd1032dccdcdadb3b177b8bfd184fe52	Age_group	Week6	0.228005207812323	0.0737030410342484	280	280	0.00226564454758399	0.00776792416314511
X438fb020cf251f2c2f4e89552e4a78ff	Age_group	Week6	-1.33448026862769	0.436361768724812	280	251	0.00253073010019465	0.00809833632062287
X264d967e6d61a657b841b0165db6464d	Age_group	Week18	0.627145828050708	0.209512416462442	280	65	0.00306929259450547	0.0092078777835164
X5467dddfc6f0c07ff660f571f4d731ad	Age_group	Week9-14	0.899953802541493	0.331599849162378	280	222	0.00722092430945877	0.0203884921678836
X438fb020cf251f2c2f4e89552e4a78ff	Age_group	Week9-14	-1.17552362735572	0.444186003522275	280	251	0.00877513658010676	0.023400364213618
X264d967e6d61a657b841b0165db6464d	BirthMode	CSR	0.454893066554883	0.197409067649171	280	65	0.0237136400225207	0.059908143214789
X94e1ce4bbbed8aed7c95d0a0b492b4e9	BirthMode	CS	-0.509729430530968	0.232959939060878	280	115	0.0295132583257141	0.0708318199817138
db35c906865fb1665ab2ed219d1e567e	Age_group	Week9-14	0.271545550860504	0.13004627907587	280	280	0.038053950148437	0.0869804574821418
X264d967e6d61a657b841b0165db6464d	Age_group	Week9-14	0.373399278063931	0.181119933614292	280	65	0.040479563339482	0.0883190472861426
a48efa77549a0058f29816ef3038a36e	BirthMode	CSR	-0.54816151831987	0.27158724708463	280	141	0.0467004952808278	0.0934009905616556
cd1032dccdcdadb3b177b8bfd184fe52	BirthMode	CSR	0.154777509269246	0.0762291229863997	280	280	0.0460939378504267	0.0934009905616556
